,time,longitude,latitude
0,14:35:20,107.306,3.72198
1,14:35:25,107.296,3.71785
2,14:35:30,107.286,3.71373
3,14:35:35,107.277,3.7096
4,14:35:40,107.267,3.70548
5,14:35:45,107.257,3.70136
6,14:35:50,107.248,3.69723
7,14:35:55,107.238,3.69311
8,14:36:00,107.228,3.68898
9,14:36:05,107.218,3.68486
10,14:36:10,107.209,3.68073
11,14:36:15,107.199,3.67661
12,14:36:20,107.189,3.67249
13,14:36:25,107.179,3.66836
14,14:36:30,107.17,3.66424
15,14:36:35,107.16,3.66011
16,14:36:40,107.15,3.65599
17,14:36:45,107.141,3.65187
18,14:36:50,107.131,3.64774
19,14:36:55,107.121,3.64362
20,14:37:00,107.111,3.63949
21,14:37:05,107.102,3.63537
22,14:37:10,107.092,3.63124
23,14:37:15,107.082,3.62712
24,14:37:20,107.072,3.623
25,14:37:25,107.063,3.61887
26,14:37:30,107.053,3.61475
27,14:37:35,107.043,3.61062
28,14:37:40,107.034,3.6065
29,14:37:45,107.024,3.60238
30,14:37:50,107.014,3.59825
31,14:37:55,107.004,3.59413
32,14:38:00,106.995,3.59
33,14:38:05,106.985,3.58588
34,14:38:10,106.975,3.58175
35,14:38:15,106.965,3.57763
36,14:38:20,106.956,3.57351
37,14:38:25,106.946,3.56938
38,14:38:30,106.936,3.56526
39,14:38:35,106.927,3.56113
40,14:38:40,106.917,3.55734
41,14:38:45,106.907,3.55355
42,14:38:50,106.897,3.54975
43,14:38:55,106.887,3.54596
44,14:39:00,106.877,3.54217
45,14:39:05,106.867,3.53837
46,14:39:10,106.858,3.53458
47,14:39:15,106.848,3.53079
48,14:39:20,106.838,3.52699
49,14:39:25,106.828,3.5232
50,14:39:30,106.818,3.51941
51,14:39:35,106.808,3.51561
52,14:39:40,106.798,3.51182
53,14:39:45,106.788,3.50803
54,14:39:50,106.779,3.50423
55,14:39:55,106.769,3.50044
56,14:40:00,106.759,3.49665
57,14:40:05,106.749,3.49285
