,time,longitude,latitude
0,16:13:40,107.306,3.72198
1,16:13:45,107.296,3.71785
2,16:13:50,107.286,3.71373
3,16:13:55,107.277,3.7096
4,16:14:00,107.267,3.70548
5,16:14:05,107.257,3.70136
6,16:14:10,107.248,3.69723
7,16:14:15,107.238,3.69311
8,16:14:20,107.228,3.68898
9,16:14:25,107.218,3.68486
10,16:14:30,107.209,3.68073
11,16:14:35,107.199,3.67661
12,16:14:40,107.189,3.67249
13,16:14:45,107.179,3.66836
14,16:14:50,107.17,3.66424
15,16:14:55,107.16,3.66011
16,16:15:00,107.15,3.65599
17,16:15:05,107.141,3.65187
18,16:15:10,107.131,3.64774
19,16:15:15,107.121,3.64362
20,16:15:20,107.111,3.63949
21,16:15:25,107.102,3.63537
22,16:15:30,107.092,3.63124
23,16:15:35,107.082,3.62712
24,16:15:40,107.072,3.623
25,16:15:45,107.063,3.61887
26,16:15:50,107.053,3.61475
27,16:15:55,107.043,3.61062
28,16:16:00,107.034,3.6065
29,16:16:05,107.024,3.60238
30,16:16:10,107.014,3.59825
31,16:16:15,107.004,3.59413
32,16:16:20,106.995,3.59
33,16:16:25,106.985,3.58588
34,16:16:30,106.975,3.58175
35,16:16:35,106.965,3.57763
36,16:16:40,106.956,3.57351
37,16:16:45,106.946,3.56938
38,16:16:50,106.936,3.56526
39,16:16:55,106.926,3.56233
40,16:17:00,106.916,3.56065
41,16:17:05,106.905,3.55988
42,16:17:10,106.895,3.55934
43,16:17:15,106.884,3.5588
44,16:17:20,106.873,3.55826
45,16:17:25,106.863,3.55773
46,16:17:30,106.852,3.55719
47,16:17:35,106.842,3.55665
48,16:17:40,106.831,3.55612
49,16:17:45,106.821,3.55558
50,16:17:50,106.81,3.55504
51,16:17:55,106.8,3.55451
52,16:18:00,106.789,3.55397
53,16:18:05,106.779,3.55343
54,16:18:10,106.768,3.5529
55,16:18:15,106.757,3.55236
56,16:18:20,106.747,3.55183
57,16:18:25,106.736,3.55129
58,16:18:30,106.726,3.55075
59,16:18:35,106.715,3.55022
60,16:18:40,106.705,3.54968
61,16:18:45,106.694,3.54914
62,16:18:50,106.684,3.54861
63,16:18:55,106.673,3.54807
64,16:19:00,106.662,3.54753
65,16:19:05,106.652,3.547
66,16:19:10,106.641,3.54646
67,16:19:15,106.631,3.54592
68,16:19:20,106.62,3.54539
69,16:19:25,106.61,3.54485
70,16:19:30,106.599,3.54431
71,16:19:35,106.589,3.54378
72,16:19:40,106.578,3.54324
73,16:19:45,106.567,3.5427
74,16:19:50,106.557,3.54217
75,16:19:55,106.546,3.54163
76,16:20:00,106.536,3.54109
77,16:20:05,106.525,3.54056
78,16:20:10,106.515,3.54002
79,16:20:15,106.504,3.53948
80,16:20:20,106.494,3.53895
81,16:20:25,106.483,3.53841
82,16:20:30,106.472,3.53787
83,16:20:35,106.462,3.53734
84,16:20:40,106.451,3.5368
85,16:20:45,106.441,3.53626
86,16:20:50,106.43,3.53573
87,16:20:55,106.42,3.53519
88,16:21:00,106.409,3.53465
89,16:21:05,106.399,3.53412
90,16:21:10,106.388,3.53358
91,16:21:15,106.378,3.53304
92,16:21:20,106.367,3.53251
93,16:21:25,106.356,3.53197
94,16:21:30,106.346,3.53143
95,16:21:35,106.335,3.5309
96,16:21:40,106.325,3.53036
97,16:21:45,106.314,3.52982
98,16:21:50,106.304,3.52929
99,16:21:55,106.293,3.52875
100,16:22:00,106.283,3.52821
101,16:22:05,106.272,3.52768
102,16:22:10,106.261,3.52714
103,16:22:15,106.251,3.5266
104,16:22:20,106.24,3.52607
105,16:22:25,106.23,3.52553
106,16:22:30,106.219,3.525
107,16:22:35,106.209,3.52446
108,16:22:40,106.198,3.52392
109,16:22:45,106.188,3.52339
110,16:22:50,106.177,3.52285
111,16:22:55,106.166,3.52231
112,16:23:00,106.156,3.52305
113,16:23:05,106.146,3.52505
114,16:23:10,106.135,3.52828
115,16:23:15,106.126,3.5327
116,16:23:20,106.117,3.53797
117,16:23:25,106.108,3.54324
118,16:23:30,106.098,3.54852
119,16:23:35,106.089,3.55379
120,16:23:40,106.08,3.55907
121,16:23:45,106.071,3.56434
122,16:23:50,106.062,3.56961
123,16:23:55,106.053,3.57489
124,16:24:00,106.044,3.58016
125,16:24:05,106.034,3.58544
126,16:24:10,106.025,3.59071
127,16:24:15,106.016,3.59598
128,16:24:20,106.007,3.60126
129,16:24:25,105.998,3.60653
130,16:24:30,105.989,3.61181
131,16:24:35,105.979,3.61708
132,16:24:40,105.97,3.62236
133,16:24:45,105.961,3.62763
134,16:24:50,105.952,3.6329
135,16:24:55,105.943,3.63818
136,16:25:00,105.934,3.64345
137,16:25:05,105.925,3.64873
138,16:25:10,105.915,3.654
139,16:25:15,105.906,3.65928
140,16:25:20,105.897,3.66341
141,16:25:25,105.886,3.66635
142,16:25:30,105.876,3.66804
143,16:25:35,105.865,3.66847
144,16:25:40,105.855,3.66762
145,16:25:45,105.844,3.66585
146,16:25:50,105.834,3.66407
147,16:25:55,105.824,3.66228
148,16:26:00,105.813,3.66049
149,16:26:05,105.803,3.6587
150,16:26:10,105.792,3.65692
151,16:26:15,105.782,3.65514
152,16:26:20,105.772,3.65336
153,16:26:25,105.761,3.65157
154,16:26:30,105.751,3.64978
155,16:26:35,105.74,3.648
156,16:26:40,105.73,3.64622
157,16:26:45,105.719,3.64444
158,16:26:50,105.709,3.64266
159,16:26:55,105.699,3.64087
160,16:27:00,105.688,3.63909
161,16:27:05,105.678,3.63731
162,16:27:10,105.667,3.63553
163,16:27:15,105.657,3.63374
164,16:27:20,105.647,3.63196
165,16:27:25,105.636,3.63018
166,16:27:30,105.626,3.62841
167,16:27:35,105.615,3.62663
168,16:27:40,105.605,3.62486
169,16:27:45,105.594,3.62309
170,16:27:50,105.584,3.62129
171,16:27:55,105.574,3.6195
172,16:28:00,105.563,3.61772
173,16:28:05,105.553,3.61594
