,time,longitude,latitude
0,17:23:55,107.306,3.72198
1,17:24:00,107.296,3.71785
2,17:24:05,107.286,3.71373
3,17:24:10,107.277,3.7096
4,17:24:15,107.267,3.70548
5,17:24:20,107.257,3.70136
6,17:24:25,107.248,3.69723
7,17:24:30,107.238,3.69311
8,17:24:35,107.228,3.68898
9,17:24:40,107.218,3.68486
10,17:24:45,107.209,3.68073
11,17:24:50,107.199,3.67661
12,17:24:55,107.189,3.67249
13,17:25:00,107.179,3.66836
14,17:25:05,107.17,3.66424
15,17:25:10,107.16,3.66011
16,17:25:15,107.15,3.65599
17,17:25:20,107.141,3.65187
18,17:25:25,107.131,3.64774
19,17:25:30,107.121,3.64362
20,17:25:35,107.111,3.63949
21,17:25:40,107.102,3.63537
22,17:25:45,107.092,3.63124
23,17:25:50,107.082,3.62712
24,17:25:55,107.072,3.623
25,17:26:00,107.063,3.61887
26,17:26:05,107.053,3.61475
27,17:26:10,107.043,3.61062
28,17:26:15,107.034,3.6065
29,17:26:20,107.024,3.60238
30,17:26:25,107.014,3.59825
31,17:26:30,107.004,3.59413
32,17:26:35,106.995,3.59
33,17:26:40,106.985,3.58588
34,17:26:45,106.975,3.58175
35,17:26:50,106.965,3.57763
36,17:26:55,106.956,3.57351
37,17:27:00,106.946,3.56938
38,17:27:05,106.936,3.56526
39,17:27:10,106.927,3.56113
40,17:27:15,106.917,3.55734
41,17:27:20,106.907,3.55355
42,17:27:25,106.897,3.54975
43,17:27:30,106.887,3.54596
44,17:27:35,106.877,3.54217
45,17:27:40,106.867,3.53837
46,17:27:45,106.858,3.53458
47,17:27:50,106.848,3.53079
48,17:27:55,106.838,3.52699
49,17:28:00,106.828,3.5232
50,17:28:05,106.818,3.51941
51,17:28:10,106.808,3.51561
52,17:28:15,106.798,3.51182
53,17:28:20,106.788,3.50803
54,17:28:25,106.779,3.50423
55,17:28:30,106.769,3.50044
56,17:28:35,106.759,3.49665
57,17:28:40,106.749,3.49285
58,17:28:45,106.739,3.48906
